1: Wounded Eurydice, Jean Baptiste Camille Corot
2: Self-Portrait l, Fredric Bazille
3: The Interior of the Palm House, Carl Blechen
4: Still Life, Pieter Claesz
5: On the Bank of the Seine, Claude Monet
6: Woman bathing her feet, Camille Pizarro
7: Pardon in Brittany, Gaston La Touche
8: Vetheuil, Claude Monet
9: An Elegant Woman at the Élysée Montmartre, Louis Antiquin
10: Wooden Tankard and Metal Pitcher, Paul Gauguin
11: The Drinkers, Van Gogh
12: Bordighera, Claude Monet
13: The Artist Looks At Nature, Charles Sheelet
14: Reminsence of a Cathedral, Kupka
15: Yosemite, Thomas Hill
16: A Wanderlust Memory, Allen Tupper True
17: Evening on the Range, William Herbert Dunton
18: That Night in Blackfoot Was A Terror, Russell
19: Landscape, Jules Dupre
20: Balley of the Putts Nois, Gustave courbet
21: Waterloo Bridge, Monet
22: The Gulf of Spezia, Newman
24: Fisherman at Sea, Turner, Tate
25: View of Orvieto, Turner, Tate
26: War The Exile and The Rock Limpet, Turner
27: Norham Castle Sunrise, Turner
28: The Shipwreck, Turner
29: Rough Sea with Wreckage
30: A Bigger Splash, David Hockney
31: Tomb and distant view of Rajmahal Hills, William Hodges
32: The Bridge, Philip Wilson Steer
33: Watering place at Marley, Alfred Sisley
34: Seascape Renoir
35: Daybreak, Rita Letendre Toronto 
36: No. 1 White and Red, Mark Rothko
37: Swimmer, Alex Colville
38: Natural Answer, Helen Frankenthaler
39: Untitled, Stephen Andrew's about grief self portrait 
40: Seated Woman, Picasso
41: Portrait of Dr. Heinrich Stadelmann, Otto Dix
42: Landscape, Nakamura Kazuo
